adler | We experience reality always through the meaning we give it; not in itself, but as something interpreted. | Preface and Introduction
adler | Our drives have all been adapted to our common culture; they all reflect the efforts we have learned to make for the welfare of mankind and for our life in association. | Educational and Therapeutic Implications
adler | This interest is primary. | Educational and Therapeutic Implications
adler | Nobody can bear a position of inferiority without anger and disgust. | Educational and Therapeutic Implications
adler | In our present-day civilization people are not often well prepared for cooperation. | Educational and Therapeutic Implications
adler | Our training has been too much towards individual success, towards considering what we can get out of life rather than what we can give to it. | Educational and Therapeutic Implications
adler | Instead of making a trifle out of it, we should rather agree with the child that love is a marvelous task, a task for which he should be prepared, a task on behalf of the whole of mankind. | Educational and Therapeutic Implications
adler | The key to helpfulness is never to lie to a child, never to evade his questions, to understand what is behind his questions, to explain only as much as he wishes to learn and only as much as we are sure he can understand. | Educational and Therapeutic Implications
adler | So long as there is an observer, there is no danger. | Educational and Therapeutic Implications
adler | If he feels that other people are hostile, if he feels that he is surrounded by enemies and has his back against the wall, we cannot expect him to make friends and to be a good friend himself. | Educational and Therapeutic Implications
adler | If he feels that others should be his slaves, he will wish, not to contribute to others, but to rule them. | Educational and Therapeutic Implications
adler | If he is interested in his own sensations and in his physical irritations and discomforts, he will shut himself off from society. | Educational and Therapeutic Implications
adler | In this way their children come to feel that trustworthy human beings exist outside the family, also. | Educational and Therapeutic Implications
adler | He will be wholly sure that the present time is only one time in the history of mankind, and that he belongs to the whole human process, past, present and future. | Educational and Therapeutic Implications
adler | It is true that there are evils and difficulties and prejudices and disasters in this world; but it is our own world and its advantages and disadvantages are our own. | Educational and Therapeutic Implications
adler | The chief way to preserve human life was to propagate it; hence our fertility and the continual striving of physical attraction. | Educational and Therapeutic Implications
adler | If we are trying, therefore, to come to a right conclusion, our approach must be quite without prejudice. | Educational and Therapeutic Implications
adler | Love is not a purely natural task, as some psychologists believe. | Educational and Therapeutic Implications
adler | Sex is a drive or instinct; but the question of love and marriage is not quite simply how we are to satisfy this drive. | Educational and Therapeutic Implications
adler | In a child's characteristic behavior, in his attitudes, thoughts and actions, we can see how he is training himself for adult situations. | Educational and Therapeutic Implications
adler | In its main features his approach to love is already established by the fifth or sixth year. | Educational and Therapeutic Implications
adler | I should never encourage parents to explain the physical relations of sex too early in life or to explain more than their children wish to learn. | Educational and Therapeutic Implications
adler | In my own experience children who were introduced to the facts of adult relations in early life, at four, five or six years of age, and children who had precocious experiences, are always more scared of love in later life. | Educational and Therapeutic Implications
adler | A melancholiac's first memory is generally something like this: 'I remember I wanted to lie on the couch, but my brother was lying there. I cried so much that he had to leave.' | Educational and Therapeutic Implications
adler | For many people this is bound to be a new task. To some degree we have been educated to work alone; to some degree we have been educated to work in a team or a crowd. | Educational and Therapeutic Implications
adler | The solution of the problem of love and marriage in our practical and social life is monogamy. | Conclusion and Reflections
adler | The fact that we live on this planet, in association with human beings equal to ourselves, and divided into two sexes, and the fact that we must solve the three problems of life which our circumstances set us in a sufficient way, will help us to see that the fullest and highest development of the individual in those and marriage can best be secured by monogamy. | Conclusion and Reflections
adler | We can say, therefore, that for a full solution of the problem of love and marriage a decision to have children is necessary. | Conclusion and Reflections
adler | A good marriage is the best means we know for bringing up the future generation of mankind, and marriage should always have this in view. | Conclusion and Reflections
adler | It is when two people are married that the possibilities of their relationship begin; it is during marriage that they are faced with the real tasks of life and the real opportunity to create for the sake of society. | Conclusion and Reflections
adler | The attitude of every individual towards marriage is one of the expressions of his style of life: we can understand it if we understand the whole individual, not unless. | Conclusion and Reflections
adler | Now if one human being is really interested in another, he must have all the characteristics belonging to that interest; he must be true, a good friend; he must feel responsible, he must make himself faithful and trustworthy. | Conclusion and Reflections
adler | The right solution of the problem of love and marriage belongs to the highest fulfillment of the whole personality. | Conclusion and Reflections
adler | There is no problem more closely involved with happiness and a true and useful expression in life. | Conclusion and Reflections
adler | Marriage is too high an ideal and the solution of the task demands too much of our effort and creative activity for us to load it with such additional burdens. | Conclusion and Reflections
adler | Every individual has his characteristic approach, his characteristic gait and temperament in wooing; and this is always congruous with his style of life. | Conclusion and Reflections
adler | In this amative temperament we can see whether he says 'Yes' to the future of mankind, is confident and cooperative; or is interested only in his own person, suffers from stage fright, and tortures himself with the question, 'What sort of a show am I making? What do they think of me?' | Conclusion and Reflections
adler | The sexual attraction towards the other partner is necessary but it should always be molded along the line of a desire for human welfare. | Conclusion and Reflections
adler | This stop implies always a lack of interest; it tells us that the individual no longer feels equal, friendly and cooperative towards his partner, no longer wishes to enrich the life of his partner. | Conclusion and Reflections
adler | Sometimes the mouth lies or the head does not understand; but the functions of the body always speak the truth. | Conclusion and Reflections
adler | If the functions are deficient, it follows that there is no true agreement between these two people. They have lost interest in each other. | Conclusion and Reflections
adler | We shall find, therefore, that in this problem of love and marriage those people who are most spontaneously interested in the welfare of mankind are the most likely to have children. | Conclusion and Reflections
adler | Those who are not interested, consciously or unconsciously, in their fellow beings, refuse the burden of procreation. | Conclusion and Reflections
adler | Anyone who starts the relation which demands such an intimate devotion, such an interest in another person, cannot shake the fundamental basis of this relation and search for an escape. | Conclusion and Reflections
adler | It is a mistake to regard love and marriage as if they were a paradise; and it is a mistake, too, to regard marriage as if it were the end of a story. | Conclusion and Reflections
adler | Another point important to realize is that love by itself does not settle everything. | Conclusion and Reflections
adler | There are all kinds of love, and it is better to rely upon work, interest, and cooperation to solve the problems of marriage. | Conclusion and Reflections
adler | This is a dangerous type in our social life — these grown-up pampered children whose style of life has been fixed in the first four or five years of life and who always have the scheme of apperception: 'Can I get all I want?' | Conclusion and Reflections
adler | They make themselves sick and neurotic and out of their mistaken style of life they construct a philosophy. | Conclusion and Reflections
adler | I believe that at the least a human being who has not succeeded in accomplishing such a love life or such a marriage should understand that on this point his life has been a mistake. | Conclusion and Reflections
adler | It is necessary, too, to be interested in the welfare of the children; and if a marriage is based upon different outlooks from the one I have supported, there are great difficulties for the bringing up of children. | Conclusion and Reflections
adler | If the parents quarrel and look on their marriage as a trifle, if they do not see it as if its problems could be solved and the relationship could be continued successfully, it is not a very favorable situation for helping the children to be sociable. | Conclusion and Reflections
adler | This is really making love and marriage into a mere patent medicine, and these individuals are bound to lose very greatly. | Conclusion and Reflections
adler | We cannot treat it as a trifle. We cannot look on love and marriage as a remedy for a criminal career, for drunkenness or neurosis. | Conclusion and Reflections
adler | A neurotic needs to have the right treatment before he is fitted for love and marriage; and if he enters them before he is capable of approaching them rightly, he is bound to run into new dangers and misfortunes. | Conclusion and Reflections
adler | Can it be easy to solve the problems of love and marriage while half of mankind is disappointed and discouraged, does not agree with its position and objects to the greater freedom of the other half? | Conclusion and Reflections
adler | Human beings are neither polygamous nor monogamous. | Conclusion and Reflections
adler | One partner, or both, must be occupied so that they can earn their living and support a family and we can understand that the right preparation for marriage includes also the right preparation for work. | Conclusion and Reflections
adler | We can always find the degree of courage and the degree of capacity to cooperate in the approach to the other sex. | Conclusion and Reflections
adler | So long as this cultural demand exists, therefore, it is necessary to train boys in the masculine attitude — to take the initiative, not to hesitate or look for an escape. | Conclusion and Reflections
adler | They can be trained, however, only if they feel themselves to be a part of the whole social life and accept its advantages and disadvantages as their own. | Conclusion and Reflections
adler | If the partners are really interested in each other, there will never be the difficulty of sexual attraction coming to an end. | Conclusion and Reflections
adler | People may think, sometimes, that the interest continues but the attraction has ceased. This is never true. | Conclusion and Reflections
adler | This is another way in which the welfare and continuance of mankind is guaranteed; it is a way by which mankind can increase, become numerous, and secure its welfare and survival by the greatness of its numbers. | Conclusion and Reflections
adler | If they are always demanding and expecting, never giving, they do not like children. | Conclusion and Reflections
adler | They are interested in only their own persons and they regard children as a bother, a trouble, a nuisance; something that will prevent them from keeping their interest in themselves. | Conclusion and Reflections
adler | The other point of view, the point of view of marriage as an end, as a final goal, is very much too prominent in our culture. | Conclusion and Reflections
adler | I can tell exactly how many people have this attitude: all the people who remain pampered children. | Conclusion and Reflections
adler | If they can't get everything that they want, they think life is purposeless. | Conclusion and Reflections
adler | They become pessimistic: they conceive a 'death wish.' | Conclusion and Reflections
adler | Are we going to put it in the hands of people who themselves are not rightly taught, who themselves do not understand that marriage is a task, who themselves are interested only in their own persons? | Conclusion and Reflections
adler | You will see very often that people divorce and remarry again and again and always make the same mistake. | Conclusion and Reflections
adler | A similar mistake is made when people look upon marriage as a solution for a personal problem. | Conclusion and Reflections
adler | I am sure we should not try to depreciate or diminish this problem but to set it on a higher level. | Conclusion and Reflections
adler | There is no question but that men in our culture already have an easier time. This is a mistake in our common approach. | Conclusion and Reflections
adler | Another problem which also helps to show us the preparation for marriage is the problem of occupation. | Conclusion and Reflections
adler | To-day the solution of this problem is put before the solution of love and marriage. | Conclusion and Reflections
adler | We cannot judge a man's fitness for marriage entirely by his courtship; for there he has a direct goal before him and in other ways he may be indecisive. | Conclusion and Reflections
adler | Nevertheless we can gather from it sure indications of his personality. | Conclusion and Reflections
adler | In our own cultural conditions (and only in these conditions) it is generally expected that the man should be the first to express attraction, that the man should make the first approach. | Conclusion and Reflections
adler | Of course, girls and women are also engaged in wooing, they also take the initiative; but in our prevailing cultural conditions, they feel obliged to be more reserved. | Conclusion and Reflections
adler | A man's approach, therefore, may be called simpler and shallower, a woman's deeper and more complicated. | Conclusion and Reflections
adler | In one other way the sex drive in human beings is different from the sex drive among other beings. It is continuous. | Conclusion and Reflections
adler | Probably there are reasons why people should not live together; probably there are cases where it would be better that they should be apart. | Conclusion and Reflections
adler | There is no place for such jokes in marriage. | Conclusion and Reflections
adler | Dancing is a type of activity in which two people have to accomplish a common task, and I think it is good for children to be trained in dancing. | Conclusion and Reflections
adler | If, however, we had simple and easy dances for children, it would be a great help for their development. | Conclusion and Reflections
adler | I am sure that in time they will change their mind and cease to give such advice. | Conclusion and Reflections
adler | I believe that we should not undervalue dancing. | Conclusion and Reflections
